CreatedBy,New Contacts,New Invites (Challenge Groups),New Invites (Coaching Opportunity),New Follow Ups,New Challenger Check-Ins,Team Call Participation (National upline team or our team),SCPoints,Volume
ryanc,7,8,9,12,11,3,5,3
Pupperpie,5,4,3,3,5,1,0,0
bowdenke,14,3,3,1,0,2,0,0
captexsandy,44,8,2,69,5,3,0,0
basetraining,27,7,4,24,8,1,0,0
shusted,72,12,7,51,138,3,0,0
brookslucas,4,1,0,2,0,0,0,0
HealthyTXGal,12,5,0,8,0,2,0,0
Becca,0,9,0,5,0,0,0,0
Aforzani,0,4,1,4,0,1,0,0
heidi,11,18,9,5,3,3,0,0
sarahmichelle30,7,8,3,1,0,2,0,0
ehinkel,24,5,1,18,8,3,0,0
aandbbrown,3,4,5,5,9,0,0,0
Tamlcrucey,1,1,1,0,0,0,0,0
momwithmoxiefitness,5,5,2,2,0,0,0,0
Quadzilla,31,6,1,0,0,1,0,0
